Village,Latitude,Longitude
Bhalwara,23.733483,80.643373
Ranchha,23.726688,80.994395
Bilayat Khurd,23.727669,80.679663
Barhata,23.72766,80.702569
Saray,24.837939,80.90013
Tala,23.719311,81.017145
Hardua,23.727222,80.725012
Bamhori,23.721278,80.854628
Badwara Khurd,23.725664,80.590916
Bajarwara,23.723571,80.609603
Dhanwara,23.719306,80.631883
Khitauli,23.711621,80.829945
Lohkhan,23.716882,80.619293
Koylari,23.710351,80.737145
Bilayat Kalan,23.716964,80.660741
Tenduha,23.715478,80.715319
Salaiya,23.706305,80.600213
Jogiya,23.705842,80.692167
Manni,23.707388,80.707983
Thuthiya,23.700372,80.626377
Karchulha,23.705051,80.78852
Ramgada,23.706844,80.653643
Tala,23.696185,80.745317
Kherwa,23.704245,80.721644
Midara,23.692279,80.813403
Mairee,23.685593,80.928793
Tikariya,23.697692,80.65079
Patharahta,23.691392,80.719564
Midaki,23.685894,80.841945
Bagdara,23.686306,80.873322
Amradand,23.687254,80.601041
Pathwari,23.690708,80.665394
Semdari,23.689018,80.693058
Karhiya,23.684787,80.679034
Bijauri,23.684566,80.651477
Mahaman,23.672948,80.977137
Kodo,23.682609,80.63036
Bagdari,23.682151,80.898705
Ahar,23.638472,80.610627
Rampur,23.67671,80.741695
Jhanpi,23.676977,80.611296
Chhaparwah Khurd,23.680135,80.70463
Karanpura,23.682316,80.721925
Pati,23.676302,80.646371
Bartarai,23.654356,80.887335
Jharela,23.66798,80.66376
Pipariya,23.677183,80.715318
Dewra Kalan,23.670272,80.689841
Kamta,23.656902,80.895086
Bhanpura,23.664681,80.638461
Amatola,23.669902,80.627105
Chandia,23.638496,80.70392
Chhain,23.645684,80.905053
Umariya Alis Kachniya Tola,23.652707,80.856612
Tenduha,23.581423,80.860141
Kachhari,23.661176,80.612461
Parasi,23.657934,80.931732
Banka,23.661591,80.750089
Sunari,23.664899,80.648088
Raghopur,23.648842,80.79019
Mada Tola,23.582013,80.636745
Gohadi,23.64699,80.985804
Lamkana,23.653939,80.604299
Barhi Chhot,23.6533,80.747342
Mardari,23.643255,80.958034
Dhaur Khoh,23.64268,80.757377
Thaguwa,23.648158,80.631938
Majhgawan,23.636291,80.661791
Tali,23.62906,80.818865
Bhudsa,23.635696,80.6349
Dhamokhar,23.629807,80.938167
Pansokhar,23.631509,80.599719
Jhamaiya,23.627116,80.845323
Badwar,23.611642,80.736216
Salaiya,23.618259,80.788513
Bamhangawan,23.626557,80.683276
Padeniya,24.825194,81.011202
Parsel,23.615938,80.617042
Dadraudi,23.622192,80.868007
Madwa,23.612546,80.669808
Bansa,23.609807,80.643649
Chapar,23.609791,80.929924
Luharwara,23.610609,80.588975
Khaira,23.61031,80.911955
Kodar,23.616655,80.884639
Majhgawan,23.607263,80.857372
Dubbar,23.606211,80.758438
Kherwa Khurd,23.603915,80.843941
Magdhi,23.585593,81.017551
Kherwa Kalan,23.604937,80.831154
Bardauha,23.604951,80.883272
Anchla,23.599251,80.806485
Kotalwah,23.599815,80.901658
Didaori,23.589751,80.778741
Pathari,23.599382,80.963892
Salaiya,23.596985,80.667537
Kudra,23.588394,80.586279
Ghaghdar,23.591468,80.930007
Pali,23.58577,80.751914
Saraswahi,23.594255,80.872163
Guda,23.5916,80.631339
Amajhal,23.593951,80.61475
Kachharwar,23.586729,80.83424
Shahpura,24.813643,80.699954
Barbaspur,23.584287,80.895524
Kolha,23.580492,80.873685
Baherghata,23.576421,80.60906
Pipra Tola,23.577512,80.933634
Dhatura,23.577035,80.712157
Chhaparwah,23.64719,80.591861
Raj Tola,23.576655,80.624712
Chhahar,23.625167,80.72123
Bairagi,23.745509,80.610558
Pipariya,23.702993,80.668123
Pari Pathar,23.588383,80.69372
Chakra Arjunsingh,23.699543,80.7098
Araji Patharahta,23.696188,80.714557
Chhulha,23.668635,80.813686
Dewara Khurd,23.658666,80.67503
Bathan,23.656405,81.021872
Kudarwar,23.620271,80.973976
Padariya,23.624978,80.769397
Semra,23.577237,80.674082
Upka,24.8019,80.760402
Jhala,23.70333,80.758781
Tekan,23.693983,80.773174
Atariya,23.680146,80.792483
Patrai,23.679292,80.761736
Majhauli,23.6678,80.775781
Deogawan,23.599595,80.686144
Reserve Forest,23.800561,80.528276
Reserve Forest,23.768245,80.57658
Goraiya CT,23.368262,81.022346
Reserve Forest,23.520126,80.962162
Reserve Forest,23.801447,80.59488
Reserve Forest,23.761775,80.760943
Khatauli R F,23.712683,80.884985
Paraswah Ryt,22.829647,81.394285
Patharkucha Mal,22.832208,81.415743
Patharkucha Ryt,22.818879,81.420935
Parsauja Kalan,24.798617,80.954221
Rausar Khar,22.873926,81.438777
Lamsarai,22.877124,81.462125
Gannaguda,22.891397,81.413187
Dubsara,22.885845,81.33195
Deori,22.8719,81.362205
Jinda Tola,22.886446,81.358841
